date,county,state,fips,cases_x,deaths,cases_y,rate,Population
2020-09-08,Tehama,California,6103.0,453,1,1,452.0,144905
2020-09-08,Madison,Arkansas,5087.0,310,2,1,309.0,102420
2020-09-08,Sebastian,Arkansas,5131.0,3042,38,14,216.28571428571428,142299
2020-09-08,Meade,South Dakota,46093.0,346,1,2,172.0,118642
2020-09-08,Bingham,Idaho,16011.0,676,9,4,168.0,121264
2020-09-08,Nueces,Texas,48355.0,19389,381,117,164.71794871794873,405586
2020-09-08,Butte,California,6007.0,2463,28,19,128.6315789473684,261161
2020-09-08,Portage,Wisconsin,55097.0,798,2,7,113.0,143879
2020-09-08,Stone,Missouri,29209.0,316,2,3,104.33333333333333,121684
2020-09-08,Newton,Missouri,29145.0,1133,13,11,102.0,128929
2020-09-08,Pennington,South Dakota,46103.0,1642,33,16,101.625,137332
2020-09-08,Yuma,Arizona,4027.0,12340,331,134,91.08955223880596,207933
2020-09-08,Roane,Tennessee,47145.0,696,2,8,86.0,143046
2020-09-08,Washington,Arkansas,5143.0,7703,80,94,80.94680851063829,273926
2020-09-08,Hidalgo,Texas,48215.0,28833,1311,353,80.6798866855524,866917
2020-09-08,Hot Spring,Arkansas,5059.0,1750,23,22,78.54545454545455,139173
2020-09-08,Jasper,Missouri,29097.0,1795,16,24,73.79166666666667,142309
2020-09-08,Alexander,North Carolina,37003.0,446,3,6,73.33333333333333,153628
2020-09-08,Story,Iowa,19169.0,2966,16,40,73.15,111218
2020-09-08,McLennan,Texas,48309.0,6813,89,92,73.05434782608695,260864
2020-09-08,Kerr,Texas,48265.0,440,9,6,72.33333333333333,106593
2020-09-08,Madera,California,6039.0,4025,58,55,72.18181818181819,247134
2020-09-08,Bay,Florida,12005.0,5534,86,76,71.8157894736842,222448
2020-09-08,Bonneville,Idaho,16019.0,2031,12,28,71.53571428571429,145239
2020-09-08,Carter,Tennessee,47019.0,1000,25,16,61.5,133362
2020-09-08,Watauga,North Carolina,37189.0,498,0,8,61.25,108178
2020-09-08,Tom Green,Texas,48451.0,3355,58,56,58.910714285714285,118781
2020-09-08,Bulloch,Georgia,13031.0,2472,22,42,57.857142857142854,112545
2020-09-08,Crook,Oregon,41013.0,58,1,1,57.0,135119
2020-09-08,Medina,Texas,48325.0,1133,38,20,55.65,196820
2020-09-08,Caldwell,Texas,48055.0,1358,34,24,55.583333333333336,217886
2020-09-08,Conecuh,Alabama,1035.0,500,11,9,54.55555555555556,112989
2020-09-08,Merced,California,6047.0,8415,123,152,54.36184210526316,364237
2020-09-08,Yuba,California,6115.0,1031,8,19,53.26315789473684,107473
2020-09-08,Pittsylvania,Virginia,51143.0,867,6,16,53.1875,130935
2020-09-08,Overton,Tennessee,47133.0,537,2,10,52.7,100678
2020-09-08,Pontotoc,Mississippi,28115.0,1131,13,22,50.40909090909091,160832
2020-09-08,Benton,Arkansas,5007.0,5662,60,111,50.009009009009006,374754
2020-09-08,Comal,Texas,48091.0,3071,111,61,49.34426229508197,379189
2020-09-08,St. Francois,Missouri,29187.0,1357,5,27,49.25925925925926,138115
2020-09-08,Cache,Utah,49005.0,2225,6,45,48.44444444444444,126849
2020-09-08,Christian,Missouri,29043.0,936,4,19,48.26315789473684,154462
2020-09-08,Sutter,California,6101.0,1526,10,31,48.225806451612904,119839
2020-09-08,Vermilion,Louisiana,22113.0,1916,50,40,46.9,172249
2020-09-08,Cherokee,South Carolina,45021.0,903,33,19,46.526315789473685,112213
2020-09-08,Greene,Missouri,29077.0,4255,39,90,46.27777777777778,354979
2020-09-08,Ector,Texas,48135.0,4382,76,93,46.11827956989247,201622
2020-09-08,Cameron,Texas,48061.0,21802,819,469,45.486140724946694,460450
2020-09-08,Cochise,Arizona,4003.0,1848,64,40,45.2,130462
2020-09-08,Marion,Florida,12083.0,8881,225,196,44.31122448979592,426666
2020-09-08,Hamilton,Tennessee,47065.0,8594,79,196,42.8469387755102,399862
2020-09-08,La Crosse,Wisconsin,55063.0,1401,2,32,42.78125,150015
2020-09-08,Catawba,North Carolina,37035.0,2734,47,63,42.3968253968254,255832
2020-09-08,Marathon,Wisconsin,55073.0,906,14,21,42.142857142857146,221743
2020-09-08,Geneva,Alabama,1061.0,472,4,11,41.90909090909091,109634
2020-09-08,Butler,Kansas,20015.0,686,4,16,41.875,106824
2020-09-08,Bradley,Tennessee,47011.0,2595,16,61,41.540983606557376,111384
2020-09-08,Pender,North Carolina,37141.0,802,5,19,41.21052631578947,136711
2020-09-08,Hood,Texas,48221.0,802,24,19,41.21052631578947,119772
2020-09-08,New Hanover,North Carolina,37129.0,3461,24,84,40.20238095238095,226442
2020-09-08,Parker,Texas,48367.0,1689,27,41,40.19512195121951,272370
2020-09-08,Horry,South Carolina,45051.0,9619,189,238,39.41596638655462,332641
2020-09-08,Liberty,Texas,48291.0,1896,46,47,39.340425531914896,141626
2020-09-08,Madison,Kentucky,21151.0,1245,4,31,39.16129032258065,110490
2020-09-08,Pickens,South Carolina,45077.0,2443,36,61,39.049180327868854,183758
2020-09-08,Johnston,Oklahoma,40069.0,120,2,3,39.0,108293
2020-09-08,Moore,Tennessee,47127.0,118,1,3,38.333333333333336,110844
2020-09-08,Sevier,Tennessee,47155.0,2329,13,60,37.81666666666667,181498
2020-09-08,Carroll,Tennessee,47017.0,698,10,18,37.77777777777778,110652
2020-09-08,Manitowoc,Wisconsin,55071.0,651,2,17,37.294117647058826,117049
2020-09-08,Midland,Texas,48329.0,3409,74,91,36.46153846153846,225159
2020-09-08,Maury,Tennessee,47119.0,1900,18,51,36.254901960784316,143906
2020-09-08,Morgan,Alabama,1103.0,3010,24,81,36.160493827160494,168924
2020-09-08,Kootenai,Idaho,16055.0,2286,31,62,35.87096774193548,164328
2020-09-08,Laurens,South Carolina,45059.0,1538,54,42,35.61904761904762,174599
2020-09-08,Boone,Missouri,29019.0,3568,7,98,35.40816326530612,181219
2020-09-08,Dorchester,South Carolina,45035.0,3743,84,103,35.33980582524272,291028
2020-09-08,Stokes,North Carolina,37169.0,363,3,10,35.3,126471
2020-09-08,Limestone,Alabama,1083.0,1771,19,49,35.142857142857146,152790
2020-09-08,Monterey,California,6053.0,8661,62,240,35.0875,527648
2020-09-08,Sullivan,Tennessee,47163.0,1875,27,52,35.05769230769231,235756
2020-09-08,Cleveland,North Carolina,37045.0,1717,50,48,34.770833333333336,146233
2020-09-08,Jefferson,Tennessee,47089.0,923,9,26,34.5,146273
2020-09-08,Haywood,North Carolina,37087.0,530,31,15,34.333333333333336,126092
2020-09-08,Caldwell,North Carolina,37027.0,1485,17,43,33.53488372093023,218316
2020-09-08,Loiza,Puerto Rico,72087.0,206,0,6,33.333333333333336,123077
2020-09-08,Dale,Alabama,1045.0,1166,42,34,33.294117647058826,132990
2020-09-08,Walton,Florida,12131.0,1747,20,51,33.254901960784316,146900
2020-09-08,Fresno,California,6019.0,26565,326,777,33.189189189189186,1073138
2020-09-08,Wells,Indiana,18179.0,239,2,7,33.142857142857146,107731
2020-09-08,Stanislaus,California,6099.0,15635,295,461,32.915401301518436,613456
2020-09-08,Buncombe,North Carolina,37021.0,2641,82,78,32.85897435897436,451124
2020-09-08,Monroe,Tennessee,47123.0,874,15,26,32.61538461538461,102246
2020-09-08,Lincoln,North Carolina,37109.0,1235,13,37,32.37837837837838,167797
2020-09-08,Blount,Alabama,1009.0,1390,12,42,32.095238095238095,157623
2020-09-08,Anderson,Tennessee,47001.0,957,9,29,32.0,156814
2020-09-08,Leon,Florida,12073.0,7942,40,242,31.818181818181817,316395
2020-09-08,Beaufort,North Carolina,37013.0,685,10,21,31.61904761904762,131531
2020-09-08,Lee,Mississippi,28081.0,2362,61,73,31.356164383561644,124230
2020-09-08,Vega Baja,Puerto Rico,72145.0,707,0,22,31.136363636363637,161516
